3	1	2	4343	4343	G	2021-01-01	19:00:00	ASPERSION	DOG	400	SAR	OMNI	VA UN EQUIPO DE TECNICOS 	2021-03-01	2021-06-01	45555	PROCESO	f	2021-04-13 19:44:16.206997	2021-04-14 03:01:04.936288
18	2	1	\N	0	F	2021-04-11	23:02:00	Humo	Voladores		C	Bromadilone	VA UN EQUIPO DE TECNICOS <<<<	2021-04-11	2021-04-11	44545	\N	t	2021-07-12 02:27:06.228198	2021-07-12 02:27:06.228198
4	1	3	\N	700000000		2021-04-14	00:20:00	Piretroydes,Bromadilone		400			VA UN EQUIPO DE TECNICOS	2021-04-14	2021-04-14	333333	En proceso	f	2021-04-14 03:20:08.721045	2021-04-23 18:02:12.712343
13	2	2	\N	112	F	2021-01-11	19:00:00	Aspersión	Insectos	300	C	Bromadilone	111	2021-07-11	2021-08-10	2000	\N	t	2021-07-11 20:44:31.701461	2021-07-12 04:51:03.272741
20	2	3	\N	333	F	2021-07-12	05:30:00				C			2021-07-12	2021-08-11	\N	\N	t	2021-07-12 08:30:54.391173	2021-07-12 08:30:54.391173
1	1	1	4343	43433	C	2021-01-01	04:05:00	Humo,Niebla,Otros	Roedores,Voladores,Bacterias	400	B,A	Bromadilone,Otros	VA UN EQUIPO DE TECNICOS  EN CAMIONETA	2021-03-01	2021-06-30	45555	Finalizado	t	2021-04-09 05:22:49.907625	2021-04-24 23:55:32.104537
23	2	3	\N	221	F	2021-07-12	05:34:00				C			2021-07-12	2021-08-11	\N	\N	t	2021-07-12 08:34:18.825576	2021-07-12 08:34:18.825576
5	4	1	\N	4343		2021-04-14	00:25:00							\N	2021-06-23	\N		f	2021-04-14 03:25:22.13906	2021-04-14 04:33:48.742587
6	4	2	\N	4545	F	2021-04-23	15:02:00	Humo	Roedores,Voladores	H/300	B	Bromadilone	VA UN EQUIPO DE TECNICOS	2021-05-13	2021-06-10	\N	En proceso	t	2021-04-23 17:50:11.342321	2021-05-18 16:51:50.062854
7	2	1	\N	1111	F	2021-02-01	00:00:00	Humo	Roedores	444	C	Piretroydes	sss	2021-02-02	2021-03-03	444	\N	t	2021-07-10 03:19:39.657043	2021-07-10 03:19:39.657043
8	2	1	\N	777	F	2021-02-01	00:00:00	Humo	Roedores	444	C	Piretroydes	sss	2021-02-02	2021-04-04	444	\N	t	2021-07-10 03:20:15.501588	2021-07-10 03:20:15.501588
9	19015	2	\N	4445	F	2021-02-02	00:00:00	Humo	Voladores	441	C	Piretroydes	7777	2021-05-05	2022-06-06	444	\N	t	2021-07-10 03:23:53.185599	2021-07-10 03:23:53.185599
16	2	2	\N	114	F	2021-07-11	00:00:00	Aspersión	Roedores	300	C	Piretroydes	nn	2021-07-11	2021-07-10	5000	\N	t	2021-07-11 21:08:03.102537	2021-07-11 21:08:03.102537
17	2	1	\N	115	F	2021-10-11	00:00:00	Aspersión	Roedores	333	C	Piretroydes	nn	2021-07-18	2021-09-16	5555	\N	t	2021-07-11 21:34:38.357973	2021-07-11 21:36:38.57805
14	2	2	\N	113	F	2021-07-11	22:45:00	Humo	Roedores	H/300	C	Piretroydes	nannan	2021-07-11	2021-09-09	45555	\N	t	2021-07-11 20:46:40.890291	2021-07-11 22:48:36.943903
15	2	1	\N	1133	F	2021-07-11	00:00:00	Humo	Roedores	300	C	Piretroydes	nn	2021-07-11	2021-08-10	5000	\N	t	2021-07-11 20:50:50.790705	2021-07-11 22:51:40.208343
27	2	3	\N	228	F	2021-07-12	05:41:00				C			2021-07-14	2021-09-10	\N	\N	f	2021-07-12 08:41:25.309097	2021-07-15 00:51:43.794526
26	2	3	\N	227	F	2021-07-12	05:40:00				C			2021-07-12	2021-08-11	\N	\N	f	2021-07-12 08:40:21.521072	2021-07-15 00:51:54.848685
25	2	3	\N	225	F	2021-07-12	05:37:00				C			2021-07-14	2021-08-11	\N	\N	t	2021-07-12 08:38:06.790015	2021-07-15 01:15:25.382005
24	2	3	\N	224	F	2021-07-12	05:35:00				C			2021-07-15	2021-08-11	\N	\N	t	2021-07-12 08:35:27.220503	2021-07-15 04:10:17.08373
2	2	3	4343	4343473	F	2021-04-11	23:02:00	Humo	Voladores		C	Bromadilone	VA UN EQUIPO DE TECNICOS <<<<	2021-07-15	2021-04-11	44545	En proceso	t	2021-04-11 23:02:56.655774	2021-07-15 04:15:38.635873
\.


